organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
Society for Pediatric Research,NGO,,,,,"Innovation Deficit, AHGMR, FNICHD",3400 Research Forest Dr,Ste B7,The Woodlands,TX,77381,,,,,,501(c)(3),,"APS/SPR brings together men and women for the advancement of the study of children and their diseases, for the prevention of illness and the promotion of health in childhood, for the promotion of pediatric education and research, and to honor those who, by their contributions to pediatrics, have aided in its advancement. Founded 1888.",https://www.aps-spr.org/,https://twitter.com/APS_SPR,https://www.facebook.com/American-Pediatric-SocietySociety-for-Pediatric-Research-268013953221800/?ref=hl,,,
Society for Personality and Social Psychology,NGO,,,,,COMPETES,"1660 L St, NW",Ste 1000,Washington,DC,20036,,,,,,501(c)(3),,"With over 6,200 members, the Society of Personality and Social Psychology is the largest organization of social psychologists and personality psychologists. Founded in 1974, the Society has three general missions:  1) Produce and Disseminate Knowledge to the Profession and the Public for the Public Good through Personality and Social Psychological Science;  2) Promote the Careers of Students and Professionals in the Areas of Personality and Social Psychology; and 3) Recognize and Promote Achievement in Personality and Social Psychology.",http://www.spsp.org/,https://twitter.com/spspnews,https://www.facebook.com/SPSP.org,https://www.linkedin.com/company/society-for-personality-and-social-psychology-spsp-?,,
Society for Public Health Education,NGO,,,,,CDCC,"10 G Street, NE",Suite 605,Washington,DC,20002,,,,,,501(c)(3),,"The organization promotes healthy behaviors, healthy communities, and healthy environments through its membership, its network of local chapters, and its numerous partnerships with other organizations.",http://www.sophe.org/,https://twitter.com/SOPHEtweets,https://www.facebook.com/SocietyforPublicHealthEducation/,https://www.linkedin.com/company/society-for-public-health-education,,
Society for Reproductive Investigation,NGO,,,,,FNICHD,555 E Wells St Ste 1100 ,,Milwaukee,WI,53202-3823,,,,,,501(c)(3),,"Founded in 1953 as the Society for Reproductive Investigation,  the Society for Reproductive Investigation (SRI) is to advance reproductive and women's health care through outstanding basic, translational, and clinical science and by training and mentoring future generations of investigators.",http://www.sri-online.org/,https://twitter.com/SRIWomensHealth,,https://www.linkedin.com/company/society-for-reproductive-investigation,,
Society for Research in Child Development,NGO,,,,,"CNSF, InnovationP, SHRC, FNICHD, CAHT-BSSR, FIES, CPR",2950 S State St,Ste 401,Ann Arbor,MI,48104,,,,,,501(c)(3),Social Science,"The Society works to SRCD is a multidisciplinary, professional association with 5,500 researchers, practitioners, and human development professionals from 50 countries. The Society welcomes the increasing interest in child development research and seeks members who shares this interest.",http://www.srcd.org/,https://twitter.com/SRCDtweets,https://www.facebook.com/pages/Society-for-Research-in-Child-Development-SRCD/143127176115,https://www.linkedin.com/company/society-for-research-in-child-development,,https://www.youtube.com/user/srcdchilddevelopment?feature=watch
Society for Research on Adolescence,NGO,,,,,FNICHD,2950 S State St ,,Ann Arbor,MI,48104-7102,,,,,,501(c)(3),,"Founded in 1984, Society for Research on Adolescence (SRA) is a dynamic, multidisciplinary, international organization dedicated to understanding adolescence through research and dissemination of research findings. SRA currently serves over 1,200 members representing 30 countries throughout the world. The Society is governed by its Executive Council according to a constitution and by-laws.",http://www.s-r-a.org/,https://twitter.com/SRAdolescence,https://www.facebook.com/Society-for-Research-on-Adolescence-SRA-378095759100/,https://www.linkedin.com/company/society-for-research-on-adolescence,,https://www.youtube.com/user/sradolescence
Society for the Psychological Study of Social Issues,NGO,,,,,"SHRC, FNICHD, CPR",208 I St Ne,,Washington,DC,20002-4340,,,,,,501(c)(3),,Founded in 1936 in an attempt to bring together a “national group of socially minded psychologists” to address social and economic issues,http://www.spssi.org/,https://twitter.com/spssi,https://www.facebook.com/spssi?fref=ts,https://www.linkedin.com/company/society-for-the-psychological-study-of-social-issues,,https://www.youtube.com/channel/UCDDdttbGyjN6BbkwlH0oKTQ
Society for Research on Educational Effectiveness (SREE),NGO,,,,,FIES,2040 Sheridan Rd ,,Evanston,IL,60208-0855,1000 Thomas Jefferson St. NW,,Washington,DC,20007,501(c)(3),Education,The Society for Research on Educational Effectiveness (SREE) was formed to provide an organizational infrastructure that supports and promotes research focused on cause-and-effect relations important for education. The field of education research has always worked to construct a foundation of knowledge upon which educational practices may be reliably based.,https://www.sree.org/,https://twitter.com/sreesociety,https://www.facebook.com/Society-for-Research-on-Educational-Effectiveness-105018359565342/,,,
Society for the Scientific Study of Sexuality,NGO,,,,,CPR,881 Third Street ,,Whitehall,PA,18052-5900,,,,,,501(c)(3),Social Science,"Founded in 1957 to encourage the rigorous systematic study of sexuality. More than 700 individuals hold membership in the Society. SSSS is a non-profit professional membership organization. A strength of the Society is the range of disciplines represented by its members, conference participants and journal authors. Membership of the Society includes anthropologists, biologists, educators, historians, nurses, physicians, psychologists, sociologists, theologians, therapists, and many other disciplines. The Society has a strong commitment to ""the next generation"" through the support of a vigorous student membership program and through the mentoring of young professionals who also serve as leaders in the organization.
The Society's award program recognizes professional excellence, public service and service to The Society.
A broad range of committee activity provides numerous opportunities for the involvement of members in the work of the Society.",http://www.sexscience.org/,https://twitter.com/sex_science,,,https://www.linkedin.com/grps/Society-Scientific-Study-Sexuality-SSSS-2017671/about?,
Society for Social Work and Research,NGO,,,,,CPR,11240 Waples Mill Rd Ste 200 ,,Fairfax,VA,22030-6078,,,,,,501(c)(3),Social Science,"The Society for Social Work and Research was founded in 1994 as a free-standing organization dedicated to the advancement of social work research. SSWR works collaboratively with a number of other organizations that are committed to improving support for research among social workers. Our members include faculty in schools of social work and other professional schools, research staff in public and private agencies, and masters/doctoral students.

SSWR’s more than 1300 members come from 45 states in the United States as well as from Australia, Canada, Cyprus, Hong Kong, India, Ireland, Israel, Japan, Korea, New Zealand, Sweden, Switzerland, Taiwan, Trinidad and the United Kingdom.

SSWR’s members represent more than 200 universities and institutions.",http://secure.sswr.org/,,,,,
Society for the Study of Reproduction,NGO,,,,,FNICHD,1619 Monroe St ,,Madison,WI,53711-2063,,,,,,501(c)(3),,"The Society for the Study of Reproduction (SSR) was founded in 1967 to promote the study of reproduction by fostering interdisciplinary communication among scientists, holding conferences, and publishing meritorious studies.",https://www.ssr.org/,https://twitter.com/SSRepro,https://www.facebook.com/SSRepro,,,
Society for Women’s Health Research,NGO,,,,,"AHGMR, PHF, CHF, FAHRQ, FNCHS, FNICHD, FNIA, NIMHD, CPR","1025 Connecticut Ave, NW",Ste 601,Washington,DC,20036,,,,,,501(c)(3),,"SWHR is the thought leader in research on biological differences in disease and is dedicated to transforming women's health through science, advocacy, and education.",http://swhr.org/,https://twitter.com/SWHR,https://www.facebook.com/pages/Society-for-Womens-Health-Research/10033434757?v=wall,https://www.linkedin.com/company/society-for-women's-health-research-swhr,,https://www.youtube.com/user/womenshealth
Society of Abdominal Radiology,NGO,,,,,DDNC,4550 Post Oak Place,,Houston,TX,77027-3165,,,,,,501(c)(3),,Society of Abdominal Radiology which is an organization dedicated to all things related to abdominal imaging.,http://www.abdominalradiology.org/,https://twitter.com/SocAbdRadiology,https://www.facebook.com/SocietyOfAbdominalRadiology/,,,
Society of Behavioral Medicine,NGO,,,,,"RMR, CAHT-BSSR, FNICHD",555 East Wells Street,Suite 1100,  Milwaukee,WI, 53202,,,,,,501(c)(3),,Professional org of 2000+ who are dedicated to promoting better health through evidence-based behavior change.,http://www.sbm.org/,https://twitter.com/BehavioralMed,https://www.facebook.com/SocietyOfBehavioralMedicine,,https://www.linkedin.com/groups/7455236/profile,
Society of Cardiovascular Computed Tomography,NGO,,,,,AHGMR,"415 Church St, NE",Ste 204,Vienna,VA,22180-4751,,,,,,501(c)(3),,"The Society of Cardiovascular Computed Tomography (SCCT) is the professional society devoted exclusively to cardiovascular computed tomography (CCT). SCCT is acknowledged and recognized as the representative and advocate for research, education, and clinical excellence in the use of cardiovascular computed tomography. Founded in 1995.",http://www.scct.org/,https://twitter.com/Heart_SCCT,https://www.facebook.com/Society-of-Cardiovascular-Computed-Tomography-115790288500011/,https://www.linkedin.com/groups/3861467/profile,,https://www.youtube.com/user/FiRSTinImaging
Society of Conservation Biology,NGO,,,,,BESC,"1017 O St, NW",,Washington,DC,20001,,,,,,501(c)(3),,"We are an international professional organization dedicated to promoting the scientific study of the phenomena that affect the maintenance, loss, and restoration of biological diversity. Our membership comprises a wide range of people interested in the conservation and study of biological diversity, including: scientists, resource managers, educators, government and private conservation workers, and students. Founded in 1986.",http://conbio.org/,https://twitter.com/Society4ConBio,https://www.facebook.com/Society4ConBio/,,,https://www.youtube.com/user/society4conbio
Society of Economic Geologists,NGO,,,,,"USGS, COMPETES",7811 Shaffer Pkwy,,Littleton,CO,80127-3732,,,,,,501(c)(3),,"The Society of Economic Geologists, Inc., (SEG) is an international organization of individual members with interests in the field of economic geology. The Society's membership includes representatives from industry, academia, and government institutions. Annual meetings, publications, field conferences, and short courses ensure an active communication of economic geology-related concepts within the membership and with the economic geology profession at large. Founded in 1920, SEG serves 6,000+ members worldwide.",https://www.segweb.org/,https://twitter.com/societyecongeol,http://www.facebook.com/segweb,https://www.linkedin.com/company/society-of-economic-geologists-inc-,,https://www.youtube.com/user/SocietyEconGeol
Society of Experimental Social Psychology,NGO,,,,,COMPETES,Dept of Psyc University of Kansas,,Lawrence,KS,66045,,,,,,501(c)(6),,"The Society of Experimental Social Psychology (SESP) is an international scientific organization dedicated to the advancement of social psychological research. Our typical members are Ph.D.s in social psychology, working in academic or other research settings.",http://www.sesp.org/index.asp,,,,,
Society of Gastroenterology Nurses and Associates,NGO,,,,,DDNC,10 Jorgensen Ln ,,Barre,VT,05641-4490,,,,,,501(c)(6),,The Society of Gastroenterology Nurses and Associates is a professional organization of nurses and associates dedicated to the safe and effective practice of gastroenterology and endoscopy nursing.,http://www.sgna.org/,https://twitter.com/SGNAOnline,https://www.facebook.com/SGNAOnline,,,https://www.youtube.com/user/SGNAhq
Society of General Internal Medicine,NGO,,,,,"Innovation Deficit, AHGMR, RMR, FAHRQ, NIMHD",1500 King St,Ste 303,Alexandria,VA,22314,,,,,,501(c)(3),,"Since 1978, the Society of General Internal Medicine is a medical society of over 3,000 physicians who are the primary care internal medical faculty of every medical school and major teaching hospital in the United States.",http://www.sgim.org/,https://twitter.com/SocietyGIM,https://www.facebook.com/SocietyGIM,https://www.linkedin.com/company/society-of-general-internal-medicine-sgim-,,
Society of Gynecologic Oncology,NGO,,,,,"RMR, DCC",230 W. Monroe St,Ste. 710,Chicago,IL,60606,,,,,,501(c)(6),,"The Society of Gynecologic Oncology (SGO) is the premier medical specialty society for health care professionals trained in the comprehensive management of gynecologic cancers. As a 501(c)(6) organization, the SGO contributes to the advancement of women’s cancer care by encouraging research, providing education, raising standards of practice, advocating for patients and members and collaborating with other domestic and international organizations.",https://www.sgo.org/,https://twitter.com/SGO_org,https://www.facebook.com/SGO.org,https://www.linkedin.com/company/sgo,,https://www.youtube.com/user/sgynecologiconcology
Society of Hospital Medicine,NGO,,,,,"CDCC, FAHRQ",1500 Spring Garden St ,,Philadelphia,PA,19130-4067,,,,,,501(c)(3),,"The Society of Hospital Medicine (SHM) is a professional medical society representing more than 14,000 of the 44,000 practicing hospitalists in the U.S. dedicated to providing exceptional care to the hospitalized patient.",http://www.hospitalmedicine.org/,https://twitter.com/SHMLive,https://www.facebook.com/Hospitalists,,https://www.linkedin.com/groups/138152/profile,https://www.youtube.com/user/SHMLive#p/u/0/ktIAW2uK4ic
Society of Nematologists,NGO,,,,,AFRI,108 W Burwell Ave ,,Loudonville,OH,44842-9561,,,,,,501(c)(3),,"The Society of Nematologists (SON) is an international organization formed to advance the science of nematology in both its fundamental and economic aspects. To serve this purpose, the Society of Nematologists acts as an agency for the exchange of information, holds regular meetings, and promotes and extends knowledge in all phases of nematology. The Society operates on a nonprofit basis exclusively for the accomplishment of these educational and scientific goals.",https://nematologists.org/,https://twitter.com/SON_nemaweb,https://www.facebook.com/Society-of-Nematologists-346734898856221/,,https://www.linkedin.com/groups/8283470/profile,https://www.youtube.com/channel/UC1ObctvoF1AChSdwxCPpF3A?view_as=public
"Society of State Directors of Health, Physical Education and Recreation",NGO,,,,,CDCC,1432 K Street NW,Suite 400,Washington,DC,20005,,,,,,,,"The Society of State Leaders of Health and Physical Education (the Society) is a professional association whose primary members supervise and coordinate programs in health, physical education, and related fields of coordinated school health programs within state departments of education.",http://thesociety.org/,,,,,
Society of Surgical Chairs,NGO,,,,,Innovation Deficit,633 N Saint Clair St,,Chicago,IL,60611-3211,,,,,,,,"Part of the American College of Surgeons, the Society of Surgical Chairs (SSC) is an international organization comprised of chairs of departments of surgery and surgical specialty departments of medical schools, academic medical centers, and teaching hospitals of the United States and Canada. The purpose of the SSC is to cultivate and enhance academic surgery. The SSC is a managed program of the American College of Surgeons.",https://www.facs.org/member-services/ssc,,,,,
Society of the Study of Evolution,NGO,,,,,Innovation Imperative,4475 Castleman Ave,,St Louis,MO,63110-3201,,,,,,501(c)(3),Biological & Life Sciences,"The Society was founded in 1946. It's objective is to promote the study of organic evolution and the integration of the various fields of science concerned with evolution. The Society members include professionals, students and K-12 educators.",https://www.evolutionsociety.org/,,https://www.facebook.com/groups/21306713056/,,,
Society of Teachers of Family Medicine,NGO,,,,,FAHRQ,11400 Tomahawk Creek Parkway,Suite 240,Leawood,KS,66211,,,,,,501(c)(6),,"The Society of Teachers of Family Medicine (STFM) is an association of nearly 5,000 innovative family medicine educators. These teachers include medical school professors, preceptors, residency program faculty, residency program directors and others involved in family medicine education.",http://www.stfm.org/,https://twitter.com/STFM_FM,https://www.facebook.com/STFM.org,,https://www.linkedin.com/groups/4224677/profile,
Society of Thoracic Surgeons,NGO,,,,,FAHRQ,633 N Saint Clair St,Suite 2320,Chicago,IL,60611,,,,,,501(c)(6),,"Founded in 1964, The Society of Thoracic Surgeons is a not-for-profit organization representing more than 7,100 surgeons, researchers, and allied health care professionals worldwide who are dedicated to ensuring the best possible outcomes for surgeries of the heart, lung, and esophagus, as well as other surgical procedures within the chest.",http://www.sts.org/,https://twitter.com/sts_ctsurgery,https://www.facebook.com/societyofthoracicsurgeons/,,,https://www.youtube.com/user/ThoracicSurgeons
Society of Toxicology,NGO,,,,,Innovation Imperative,1821 Michael Faraday Dr,Ste 300,Reston,VA,20190,,,,,,501(c)(3),,"The Society of Toxicology (SOT) is a professional and scholarly organization of scientists from academic institutions, government, and industry representing the great variety of individuals who practice toxicology in the US and abroad. Founded in 1961.",http://www.toxicology.org/,https://twitter.com/SOToxicology,https://www.facebook.com/societyoftoxicology,,,
Society of University Urologists,NGO,,,,,Innovation Deficit,1100 E Woodfield Rd,Ste 350,Schaumburg,IL,60173,,,,,,501(c)(3),,"The mission of the Society of University Urologists is to provide leadership and representation for academic urologists. The Society provides a forum to examine, discuss and establish policy for academic urology practice and provide a mechanism for improving urologic teaching, research, practice and patient care. The SUU will provide a vehicle for faculty development, clinical and laboratory research, urologic education, academic health policy and will encourage the highest quality urologic care.",http://www.suunet.org/,,,,,
Society of Urology Chairpersons and Program Directors,NGO,,,,,Innovation Deficit,1100 E Woodfield Rd,Ste 350,Schaumburg,IL,60173,,,,,,501(c)(6),,"To provide urology program chairpersons and program directors a forum for the discussion, review and implementation of issues critical to the conduct of urologic residency programs and academic practice for the purpose of advancing academic urology to the highest state of innovation resourcefulness and preparation in urologic practice and training of urologists of the future.",http://www.sucpd.org/,,,,,
Society of Women Engineers,NGO,,,,,"TFAI, InnovationP",203 N La Salle St,Ste 1675,Chicago,IL,60601,,,,,,501(c)(3),"Women & Diversity, Engineering","SWE gives women in engineering a voice in the engineering industry. SWE's mission is to achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force in improving the quality of life, and demonstate the value of diversity.",http://societyofwomenengineers.swe.org/,https://twitter.com/SWETalk,https://www.facebook.com/SWEorg,https://www.linkedin.com/company/society-of-women-engineers,https://www.linkedin.com/groups?home=&gid=69390,
Sociologists Without Borders,NGO,,,,,SHRC,225 Stanger Street 560 Mcbryde ,,Blacksburg,VA,24061-0001,,,,,,501(c)(3),,"Sociologists Without Borders-US (SSF) is a NPO of sociologists and others committed to the pursuit of equality of rights, deep democracy and dignity for all.",http://www.sociologistswithoutborders.org/,https://twitter.com/ssfthinktank,,,,
Software & Information Industry Association,NGO,,,,,"TAP, InnovationP","1090 Vermont Ave, NW",6th Fl,Washington,DC,20005-4905,,,,,,,Trade Organization,"SIIA is an umbrella association representing 800+ technology, data and media companies globally. Industry leaders work through SIIA’s divisions to address issues and challenges that impact their industry segments with the goal of driving innovation and growth for the industry and each member company. This is accomplished through in-person and online business development opportunities, peer networking, corporate education, intellectual property protection and government relations. ",http://www.siia.net/,https://twitter.com/SIIA,https://www.facebook.com/siiadotnet?ref=br_rs,https://www.linkedin.com/company/siia,,https://www.youtube.com/user/SIIA12
Soil Science Society of America,NGO,,,,,"Innovation Imperative, CNSF, ESC, Innovation Deficit, BESC, USGS, InnovationP, COMPETES, NCFAR, AFRI",5585 Guilford Rd,,Madison,WI,53711-5801,,,,,,501(c)(3),Biological & Life Sciences,"Founded in 1936, SSSA is an international scientific society home to more than 6,000 soil scientists.",https://www.soils.org/,https://twitter.com/SSSA_soils,https://www.facebook.com/SSSA.soils,,,https://www.youtube.com/user/SSSA02
South Carolina Gastroenterology Association,NGO,,,,,DDNC,Po Box 11188,,Columbia,SC,29211-1188,,,,,,501(c)(6),,The SCGA Foundation was formed in 2010 to support statewide efforts around colorectal cancer screening programs and public awareness campaigns.,http://www.scgastroassn.com/,,,,,
South Dakota School of Mines,Universities,,,,,"ESC, COMPETES",501 E St Joseph St,,Rapid City,SD,57701,,,,,,501(c)(3),,The South Dakota School of Mines and Technology has a proud heritage of excellence in preparing graduates to serve as leaders in engineering and science.,http://www.sdsmt.edu/,https://twitter.com/sdsmt,https://www.facebook.com/sdsmt,,,https://www.youtube.com/user/gotomines
South Dakota State University,Universities,,,,,"COMPETES, Innovation Imperative",100 Administration Ln,,Brookings,SD,57006,,,,,,501(c)(3),,"We are the state’s largest university—and if you ask us, the best. With South Dakota’s most comprehensive range of academic offerings, there’s no better place to explore everything from aerospace to zoology.

No matter which of our 183 fields of study our students pursue, they get a personal, practical education on our vibrant campus.",https://www.sdstate.edu/,https://twitter.com/sdstate,https://www.facebook.com/SouthDakotaStateUniversity,,,https://www.youtube.com/user/SouthDakotaState
South Denver Metro Chamber,NGO,,,,,BFRF,2154 E Commons Ave Ste 342 ,,Littleton,CO,80122-3267,,,,,,501(c)(6),, What began in 1921 as a small town Chamber of Commerce has transformed to a key player in the South Denver region:  influential in 4 counties and 18 cities with over 650 business Investors. We are ready to serve you. Our leadership has helped guide our business community constantly forward toward prosperity.,http://www.bestchamber.com/,https://twitter.com/BestChamber,https://www.facebook.com/bestchamber/,https://www.linkedin.com/company/south-metro-denver-chamber-of-commerce,,
Southern Illinois University System,Universities,,,,,"Innovation Imperative, AHGMR",Mailcode: 6801,,Carbondale,IL,62901,,,,,,501(c)(3),,"From its humble beginnings as the state’s second teachers college - founded in 1869 with a dozen academic departments and an inaugural class of 143 - Southern Illinois University Carbondale now ranks among Illinois’ most comprehensive public universities.  Each year, we welcome students from all 50 states and more than 100 countries who take advantage of outstanding academic programs as they pursue associate, bachelor’s, master’s, doctoral and professional degrees in law and medicine. ",http://siusystem.edu/,,,https://www.linkedin.com/company/southern-illinois-university,,
Southern Weed Science Society,NGO,,,,,AFRI,1331 S Eads St Apt 414 ,,Arlington,VA,22202-4732,,,,,,501(c)(3),,"The Southern Weed Science Society was established to bring together those persons from any state, area, institution or agency, who are directly interested in weed control within the Society area through research, education, regulation, manufacturing or merchandising.

",https://www.swss.ws/,,,,,
Southeast Community Research Center,NGO,,,,,CPR,2063 Post Street ,,Jacksonville,FL,32204-3742,,,,,,501(c)(3),,"The SCRC is a community-based non-profit organization (501c3) that serves as a conceptual and technical bridge connecting the questions, problems, and expertise of community groups with the resources and expertise of research and educational institutions.  Our role is to facilitate community/researcher partnerships that are governed by the principles of community-based participatory research (CBPR). Typically, we work on problems and issues that include a “technical” component. For example, concerns relating to health (health disparities and health equity), the environment (environmental injustice, community infrastructures), and issues that require academically trained experts to assist community members in understanding the roots of a problem and possible solutions.",http://www.cbpr.org/,,https://www.facebook.com/southeastregionalcommunitycenter/,,,
Southeastern Michigan Council of Governments,NGO,,,,,FBLS,"1001 Woodward Avenue, Suite 1400 ",,Detroit,MI,48226,,,,,,,,"Founded in 1968, SEMCOG, the Southeast Michigan Council of Governments, is a membership organization of local governments. We work with local elected leaders to help solve regional issues that extend beyond individual governmental boundaries. We advocate for the good of Southeast Michigan and its citizens, and the wise use of taxpayer dollars. Our region includes Livingston, Macomb, Monroe, Oakland, St. Clair, Washtenaw, and Wayne Counties.",http://semcog.org/,https://twitter.com/semcog,https://www.facebook.com/SEMCOG/,https://www.linkedin.com/company/semcog,,https://www.youtube.com/user/semcog
Southeastern Universities Research Association (SURA),NGO,,,,,"TFAI, Innovation Imperative, ESC, Innovation Deficit, InnovationP, COMPETES","1201 New York Ave, NW",Ste 430,Washington,DC,20005,,,,,,501(c)(3),"Southeastern region, research collaboration","SURA fosters collaboration among member universities, promote and support scientific discovery while supporting a public service model that keeps the nation's best interest in mind.",http://www3.sura.org/~suraorg/,https://twitter.com/SURAorg,https://www.facebook.com/ScienceOfCollaborativeResearch?fref=photo,,,https://www.youtube.com/user/JeffersonLab
Southern Association of Agricultural Experiment Station Directiors (SAAESD),NGO,,,,,NCFAR,203 Patterson Hall  ,Box 7561,Raleigh,NC,27695  ,,,,,,no records found,,"SAAESD's purpose is to encourage collaboration among agricultural scientists in the South as well as inform the funders of agricultural research about research priorities, impacts, and status of projects.",http://saaesd.ncsu.edu/index.cfm,,,,,
Special Care Dentistry,NGO,,,,,FNIA,330 N Wabash Ave Ste 2000 ,,Chicago,IL,60611-7621,,,,,,501(c)(3),,"SCDA provides educational opportunities and information exchange for oral health care professionals who treat patients with special needs. Members of SCDA have complete access to useful resources, important industry news and exclusive networking and educational events.

SCDA encourages practitioners to earn credentials demonstrating advanced knowledge and expertise in their fields through fellowship programs and through the Diplomate Certification Program.",http://www.scdaonline.org/,,,,,
SPI: The Plastics Industry Trade Association,NGO,,,,,R&DTC,"1425 K St, NW",Ste 500,Washington,DC,20005,,,,,,501(c)(6),Trade Organization,"Founded in 1937, SPI: The Plastics Industry Trade Association promotes growth in the $373 billion U.S. plastics industry.",http://www.plasticsindustry.org/,https://twitter.com/SPI_4_Plastics,https://www.facebook.com/SPIplasticsindustry,https://www.linkedin.com/company/spi-the-plastics-industry-trade-association,,https://www.youtube.com/user/SocietyofPlasticsInd
SPIE,NGO,,,,,"CNSF, Innovation Imperative, InnovationP, COMPETES, SETWG",PO Box 10 ,,Bellingham,WA,98227-0010,,,,,,501(c)(3),,"SPIE, the international society for optics and photonics, was founded in 1955 to advance light-based technologies.

Serving more than 264,000 constituents from approximately 166 countries, the not-for-profit society advances emerging technologies through interdisciplinary information exchange, continuing education, publications, patent precedent, and career and professional growth.

SPIE annually organizes and sponsors approximately 25 major technical forums, exhibitions, and education programs in North America, Europe, Asia, and the South Pacific.",http://spie.org/,https://twitter.com/SPIEtweets,https://www.facebook.com/SPIE.org,,,https://www.youtube.com/user/SPIETV
Spina Bifida Association of America,NGO,,,,,"CDCC, FAHRQ, FNICHD","1600 Wilson Blvd,",Suite 800,Arlington,VA,22209,,,,,,501(c)(3),,"Since 1973, SBA has been the only national voluntary health agency solely dedicated to enhancing the lives of those with Spina Bifida and those whose lives are touched by this challenging birth defect.",http://spinabifidaassociation.org/,https://twitter.com/SpinaBifidaAssn,https://www.facebook.com/spina.bifida.learn,https://www.linkedin.com/company/spina-bifida-association,,https://www.youtube.com/user/SBAOrg
Springfield Area Chamber of Commerce (MO),NGO,,,,,COMPETES,202 S John Q Hammons Pkwy,,Springfield,MO,65806,,,,,,501(c)(6),,To serve as the principal advocate for business in partnership with the community; support and assist existing businesses; act as the primary catalyst in promoting the economic health of the Springfield area since 1919,http://www.springfieldchamber.com/,https://twitter.com/SGFChamber,https://www.facebook.com/springfieldchamber,https://www.linkedin.com/company/springfield-area-chamber-of-commerce,,
Springfield Chamber of Commerce (OR),NGO,,,,,BFRF,101 South A Street PO Box 155,,Springfield,OR,97477,,,,,,501(c)(6),,"Since 1940 and with over 1,000 members, the Springfield Chamber of Commerce is a leader in promoting a healthy and bright future for our community. We encourage and welcome businesses to the community by providing networking opportunities, educational scholarships, and leadership training for individuals and for the business community. ",http://www.springfield-chamber.org/,https://twitter.com/SpfldChamber,https://www.facebook.com/SpringfieldChamberofCommerce/,https://www.linkedin.com/company/springfield-area-chamber-of-commerce-oregon,https://www.linkedin.com/groups/3765020/profile,https://www.youtube.com/channel/UCeRPUOvY2tvy_WNVWqf4eBA
SRI International,NGO,,,,,"CNSR, Innovation Imperative, COMPETES",333 Ravenswood Ave,,Menlo Park,CA,94025-3493,1100 Wilson Blvd,Ste 2800,Arlington,VA,22209,501(c)(3),Think-Tank & Research Institutes,"SRI International is a nonprofit, independent research center serving government and industry. SRI moves R&D from the laboratory into the marketplace to create high value and real innovation.",http://www.sri.com/,https://twitter.com/SRI_Intl,https://www.facebook.com/sri.intl,https://www.linkedin.com/company/sri-international,https://www.linkedin.com/groups/SRI-International-2848919/about,http://www.youtube.com/user/innovationSRI
St Baldrick's Foundation,NGO,,,,,RMR,1333 South Mayflower Avenue,Suite 400,Monrovia,CA,91016,,,,,,501(c)(3),,We’re that crazy head-shaving charity trying to make a difference for kids with cancer by funding the world’s most promising childhood cancer research. ,http://www.stbaldricks.org/,https://twitter.com/stbaldricks,https://www.facebook.com/StBaldricksFoundation,https://www.linkedin.com/company/st--baldrick's-foundation,,https://www.youtube.com/user/officialstbaldricks
St Jude Children's Research Hospital,NGO,,,,,RMR,262 Danny Thomas Place,,Memphis ,TN,38105,,,,,,501(c)(3),,"Children's Research Hospital is leading the way the world understands, treats and defeats childhood cancer.",https://www.stjude.org/,https://twitter.com/stjude,https://www.facebook.com/stjude,https://www.linkedin.com/company/st--jude-children's-research-hospital,,https://www.youtube.com/user/MyStJude
Stand Up To Cancer,NGO,,,,,RMR,P.O. Box 843721,,Los Angeles,CA,90084,,,,,,501(c)(3),,Stand Up To Cancer (SU2C) raises $ for groundbreaking cancer research. This is where the end of cancer begins.,http://www.standup2cancer.org/,https://twitter.com/su2c,https://www.facebook.com/su2c,https://www.linkedin.com/company/stand-up-to-cancer,,https://www.youtube.com/user/SU2C
Stand with Science,NGO,,,,,"Innovation Deficit, RMR",Not sure of location,,,,,,,,,,,,"We are a group of student scientitsts who originally came together at MIT in 2011 to raise our voice against sequestration. Our major effort in our early days was to send a letter to Congress in 2012 with more than 12,000 signatures gathered from graduate students and research funding supporters concerned about the future of federal funding for science.",http://standwithscience.org/,,https://www.facebook.com/StandWithScience/,,,
State Chamber of Oklahoma,NGO,,,,,InnovationP,330 NE 10th St,,Oklahoma City,OK,73104,,,,,,,,"The State Chamber of Oklahoma is a business membership organization that has over 2,000 membership locations representing over 400,000 employees. currently, 50 percent of our members have 12 or less employees, and 75 percent of our members have less than 100 employees. Founded in 1929.",http://www.okstatechamber.com/,https://twitter.com/okstatechamber,https://www.facebook.com/OklahomaStateChamber,https://www.linkedin.com/company/state-chamber-of-oklahoma,,https://www.youtube.com/user/okstatechamber
Stanford University,Universities,,,,,"ESC, COMPETES, Innovation Imperative, AHGMR",450 Serra Mall,,Stanford,CA,94305,,,,,,501(c)(3),,"Leland and Jane Stanford founded the university to ""promote the public welfare by exercising an influence on behalf of humanity and civilization."" Stanford opened its doors in 1891, and more than a century later, it remains dedicated to finding solutions to the great challenges of the day and to preparing our students for leadership in a complex world.",https://www.stanford.edu/,https://twitter.com/stanford,https://www.facebook.com/stanford,,,https://www.youtube.com/stanford
